Date,Home,Away,Home_Score,Away_Score,Final_Score,Link,first_goal_min
,Nantes,Rennes,1,0,1-0,https://ca.soccerway.com/matches/2024/12/08/france/ligue-1/nantes/rennes/4372870/,89
,Strasbourg,Reims,0,0,0-0,https://ca.soccerway.com/matches/2024/12/08/france/ligue-1/strasbourg/reims/4372869/,
,Toulouse,Saint-Étienne,2,1,2-1,https://ca.soccerway.com/matches/2024/12/13/france/ligue-1/toulouse/saint-tienne/4372876/,55
,Marseille,Lille,1,1,1-1,https://ca.soccerway.com/matches/2024/12/14/france/ligue-1/marseille/lille/4372879/,17
,Reims,Monaco,0,0,0-0,https://ca.soccerway.com/matches/2024/12/14/france/ligue-1/reims/monaco/4372874/,
,Le Havre,Strasbourg,0,3,0-3,https://ca.soccerway.com/matches/2024/12/15/france/ligue-1/le-havre/strasbourg/4372873/,28
,Rennes,Angers,2,0,2-0,https://ca.soccerway.com/matches/2024/12/15/france/ligue-1/rennes/angers/4372872/,33
,Lille,Nantes,1,1,1-1,https://ca.soccerway.com/matches/2025/01/04/france/ligue-1/lille/nantes/4372886/,40
,Lyon,Montpellier,1,0,1-0,https://ca.soccerway.com/matches/2025/01/04/france/ligue-1/lyon/montpellier/4372882/,91
,Lens,Toulouse,0,1,0-1,https://ca.soccerway.com/matches/2025/01/05/france/ligue-1/lens/toulouse/4372883/,73
,Angers,Brest,2,0,2-0,https://ca.soccerway.com/matches/2025/01/05/france/ligue-1/angers/brest/4372885/,6
,Auxerre,Lille,0,0,0-0,https://ca.soccerway.com/matches/2025/01/10/france/ligue-1/auxerre/lille/4372892/,
,Brest,Lyon,2,1,2-1,https://ca.soccerway.com/matches/2025/01/11/france/ligue-1/brest/lyon/4372896/,8
,Rennes,Marseille,1,2,1-2,https://ca.soccerway.com/matches/2025/01/11/france/ligue-1/rennes/marseille/4372898/,43
,Le Havre,Lens,1,2,1-2,https://ca.soccerway.com/matches/2025/01/12/france/ligue-1/le-havre/lens/4372894/,8
,Toulouse,Strasbourg,1,2,1-2,https://ca.soccerway.com/matches/2025/01/12/france/ligue-1/toulouse/strasbourg/4372890/,35
,Montpellier,Monaco,2,1,2-1,https://ca.soccerway.com/matches/2025/01/17/france/ligue-1/montpellier/monaco/4372904/,54
,Lille,Nice,2,1,2-1,https://ca.soccerway.com/matches/2025/01/17/france/ligue-1/lille/nice/4372901/,48
,Lens,PSG,1,2,1-2,https://ca.soccerway.com/matches/2025/01/18/france/ligue-1/lens/psg/4372900/,36
,Rennes,Brest,1,2,1-2,https://ca.soccerway.com/matches/2025/01/18/france/ligue-1/rennes/brest/4372907/,77
,Lyon,Toulouse,0,0,0-0,https://ca.soccerway.com/matches/2025/01/18/france/ligue-1/lyon/toulouse/4372902/,
,Saint-Étienne,Nantes,1,1,1-1,https://ca.soccerway.com/matches/2025/01/19/france/ligue-1/saint-tienne/nantes/4372903/,86
,Reims,Le Havre,1,1,1-1,https://ca.soccerway.com/matches/2025/01/19/france/ligue-1/reims/le-havre/4372905/,26
,Angers,Auxerre,2,0,2-0,https://ca.soccerway.com/matches/2025/01/19/france/ligue-1/angers/auxerre/4372906/,18
,Auxerre,Saint-Étienne,1,1,1-1,https://ca.soccerway.com/matches/2025/01/24/france/ligue-1/auxerre/saint-tienne/4372913/,27
,Strasbourg,Lille,2,1,2-1,https://ca.soccerway.com/matches/2025/01/25/france/ligue-1/strasbourg/lille/4372908/,70
,PSG,Reims,1,1,1-1,https://ca.soccerway.com/matches/2025/01/25/france/ligue-1/psg/reims/4372915/,47
,Le Havre,Brest,0,1,0-1,https://ca.soccerway.com/matches/2025/01/26/france/ligue-1/le-havre/brest/4372912/,25
,Lens,Angers,1,0,1-0,https://ca.soccerway.com/matches/2025/01/26/france/ligue-1/lens/angers/4372914/,49
,Toulouse,Montpellier,1,2,1-2,https://ca.soccerway.com/matches/2025/01/26/france/ligue-1/toulouse/montpellier/4372911/,59
,Nantes,Lyon,1,1,1-1,https://ca.soccerway.com/matches/2025/01/26/france/ligue-1/nantes/lyon/4372909/,90
,Montpellier,Lens,0,2,0-2,https://ca.soccerway.com/matches/2025/01/31/france/ligue-1/montpellier/lens/4372919/,1
,Toulouse,Nice,1,1,1-1,https://ca.soccerway.com/matches/2025/02/02/france/ligue-1/toulouse/nice/4372923/,85
,Angers,Le Havre,1,1,1-1,https://ca.soccerway.com/matches/2025/02/02/france/ligue-1/angers/le-havre/4372922/,90
,Reims,Nantes,1,2,1-2,https://ca.soccerway.com/matches/2025/02/02/france/ligue-1/reims/nantes/4372921/,46
